image_path,species,role
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_235.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_85.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_123.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_348.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_30.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_377.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_633.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_130.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_3.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_318.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_47.jpeg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_44.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_86.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_165.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_554.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_417.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_597.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_468.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_76.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_432.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_183.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_374.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_218.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_623.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_299.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_242.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_60.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_276.png,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_308.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_37.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_214.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_638.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_281.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_429.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_267.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_78.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_653.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_283.png,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_642.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_250.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_317.jpg,Ladybug,Pollinator
/scratch/user/jmagnew/datasets/insects/Ladybug/Ladybug_439.jpg,Ladybug,Pollinator
